Adsorbate,Facet,CN,Site,n_metal,GCN,Valency,chi,Bader,ed,wd,E_bind,E_ads,n_H,n_H_NN
CH,2AD_111,4,top,1,2.92,3,2.55,3.9801,-1.75,1.73,-5.101943,-11.328365,1,0
CH,2AD_111,4,bridge,2,2.83,3,2.55,3.9801,-1.75,1.73,-6.02598,-12.252402,1,0
CH,2AD_100,5,top,1,3.58,3,2.55,3.9801,-1.99,1.83,-4.866115,-11.092537,1,0
CH,2AD_100,5,bridge,2,3.11,3,2.55,3.9801,-1.99,1.83,-6.028004,-12.254426,1,0
CH,3AD_111,5,three-fold hollow,3,3.27,3,2.55,3.9801,-1.63,1.74,-6.840708,-13.06713,1,0
CH,3AD_111,5,top,1,3.5,3,2.55,3.9801,-1.63,1.74,-5.297072,-11.523494,1,0
CH,4AD_100,6,four-fold hollow,4,3.39,3,2.55,3.9801,-2.02,1.96,-6.389071,-12.615493,1,0
CH,4AD_100,6,top,1,4.42,3,2.55,3.9801,-2.02,1.96,-4.670748,-10.89717,1,0
CH,4AD_100,6,bridge,2,4,3,2.55,3.9801,-2.02,1.96,-5.945088,-12.17151,1,0
C,111,9,three-fold hollow,3,6.95,4,2.55,4,-2.08,2.09,-6.934541,-8.209059,0,0
C,111,9,three-fold hollow,3,7.5,4,2.55,4,-2.08,2.09,-6.775629,-8.050147,0,0
C,111,9,top,1,7.5,4,2.55,4,-2.08,2.09,-5.028813,-6.303331,0,0
C,100,8,four-fold hollow,4,6.62,4,2.55,4,-2,1.96,-7.628192,-8.90271,0,0
C,100,8,bridge,2,6.67,4,2.55,4,-2,1.96,-6.804781,-8.079299,0,0
C,100,8,top,1,6.67,4,2.55,4,-2,1.96,-5.314189,-6.588707,0,0
C,110,7,bridge,2,5.78,4,2.55,4,-1.94,1.87,-6.79292,-8.067438,0,0
C,110,7,top,1,5.83,4,2.55,4,-1.94,1.87,-5.557589,-6.832107,0,0
C,110,7,bridge,2,6.56,4,2.55,4,-1.94,1.87,-7.308014,-8.582532,0,0
C,110,7,three-fold hollow,3,6.41,4,2.55,4,-1.94,1.87,-7.362784,-8.637302,0,0
C,211,7,three-fold hollow,3,6,4,2.55,4,-2.09,1.99,-7.014617,-8.289135,0,0
C,211,7,top,1,5.5,4,2.55,4,-2.09,1.99,-5.348517,-6.623035,0,0
C,211,7,three-fold hollow,3,6,4,2.55,4,-2.09,1.99,-7.129204,-8.403722,0,0
C,211,7,bridge,2,5.39,4,2.55,4,-2.09,1.99,-6.628222,-7.90274,0,0
C,221,7,bridge,2,5.44,4,2.55,4,-2.09,1.99,-6.617071,-7.891589,0,0
C,221,7,three-fold hollow,3,6.41,4,2.55,4,-2.09,1.99,-7.070804,-8.345322,0,0
C,221,7,top,1,5.5,4,2.55,4,-2.09,1.99,-5.378548,-6.653066,0,0
C,322,7,bridge,2,5.39,4,2.55,4,-2.02,1.95,-6.757636,-8.032154,0,0
C,322,7,three-fold hollow,3,7.59,4,2.55,4,-2.02,1.95,-6.75961,-8.034128,0,0
C,322,7,three-fold hollow,3,6.77,4,2.55,4,-2.02,1.95,-6.944181,-8.218699,0,0
C,322,7,top,1,5.5,4,2.55,4,-2.02,1.95,-5.398653,-6.673171,0,0
C,1AD_100,4,top,1,3,4,2.55,4,-1.85,1.69,-5.630003,-6.904521,0,0
C,1AD_111,3,top,1,2.5,4,2.55,4,-1.59,1.6,-5.358709,-6.633227,0,0
C,2AD_100,5,top,1,3.58,4,2.55,4,-1.99,1.83,-5.595212,-6.86973,0,0
C,2AD_100,5,bridge,2,3.11,4,2.55,4,-1.99,1.83,-6.670374,-7.944892,0,0
C,2AD_111,4,top,1,2.92,4,2.55,4,-1.75,1.73,-5.658007,-6.932525,0,0
C,3AD_111,5,three-fold hollow,3,3.27,4,2.55,4,-1.63,1.74,-8.220223,-9.494741,0,0
C,3AD_111,5,top,1,3.5,4,2.55,4,-1.63,1.74,-5.935578,-7.210096,0,0
C,4AD_100,6,top,1,4.42,4,2.55,4,-2.02,1.96,-5.509799,-6.784317,0,0
C,4AD_100,6,bridge,2,4,4,2.55,4,-2.02,1.96,-6.735675,-8.010193,0,0
