Adsorbate,Facet,CN,Site,n_metal,GCN,Valency,chi,Bader,ed,wd,E_bind,E_ads,n_H,n_H_NN
O,322,7,bridge,2,5.39,2,3.44,6,-2.02,1.95,-4.681076,-6.256388,0,0
O,322,7,three-fold hollow,3,6.77,2,3.44,6,-2.02,1.95,-4.229399,-5.804711,0,0
O,322,7,three-fold hollow,3,7.59,2,3.44,6,-2.02,1.95,-3.665717,-5.241029,0,0
O,322,7,three-fold hollow,3,6.77,2,3.44,6,-2.02,1.95,-3.830506,-5.405818,0,0
O,1AD_100,4,top,1,3,2,3.44,6,-1.85,1.69,-4.533341,-6.108653,0,0
O,1AD_111,3,top,1,2.5,2,3.44,6,-1.59,1.6,-4.492062,-6.067374,0,0
O,2AD_100,5,top,1,3.58,2,3.44,6,-1.99,1.83,-4.301586,-5.876898,0,0
O,2AD_100,5,bridge,2,3.11,2,3.44,6,-1.99,1.83,-4.806917,-6.382229,0,0
O,2AD_111,4,top,1,2.92,2,3.44,6,-1.75,1.73,-4.470545,-6.045857,0,0
O,2AD_111,4,bridge,2,2.83,2,3.44,6,-1.75,1.73,-4.82809,-6.403402,0,0
O,3AD_111,5,top,1,3.5,2,3.44,6,-1.63,1.74,-4.530675,-6.105987,0,0
O,3AD_111,5,bridge,2,3.17,2,3.44,6,-1.63,1.74,-4.728241,-6.303553,0,0
O,3AD_111,5,three-fold hollow,3,3.27,2,3.44,6,-1.63,1.74,-4.812312,-6.387624,0,0
O,4AD_100,6,top,1,4.42,2,3.44,6,-2.02,1.96,-3.943006,-5.518318,0,0
O,4AD_100,6,bridge,2,4,2,3.44,6,-2.02,1.96,-4.628504,-6.203816,0,0
H,111,9,top,1,7.5,1,2.2,1,-2.08,2.09,-2.726371,-3.931347,0,0
H,111,9,bridge,2,7.33,1,2.2,1,-2.08,2.09,-2.676549,-3.881525,0,0
H,111,9,three-fold hollow,3,6.95,1,2.2,1,-2.08,2.09,-2.706973,-3.911949,0,0
H,111,9,three-fold hollow,3,7.5,1,2.2,1,-2.08,2.09,-2.658559,-3.863535,0,0
H,100,8,top,1,6.67,1,2.2,1,-2,1.96,-2.777685,-3.982661,0,0
H,100,8,bridge,2,6.67,1,2.2,1,-2,1.96,-2.910072,-4.115048,0,0
H,110,7,top,1,5.83,1,2.2,1,-1.94,1.87,-2.808044,-4.01302,0,0
H,110,7,bridge,2,5.78,1,2.2,1,-1.94,1.87,-2.862221,-4.067197,0,0
H,110,7,bridge,2,6.56,1,2.2,1,-1.94,1.87,-2.58537583,-3.79035183,0,0
H,211,7,top,1,5.5,1,2.2,1,-2.09,1.99,-2.764332,-3.969308,0,0
H,211,7,bridge,2,5.39,1,2.2,1,-2.09,1.99,-2.87252,-4.077496,0,0
H,221,7,top,1,5.5,1,2.2,1,-2.09,1.99,-2.752756,-3.957732,0,0
H,221,7,bridge,2,5.44,1,2.2,1,-2.09,1.99,-2.743724,-3.9487,0,0
H,322,7,top,1,5.5,1,2.2,1,-2.02,1.95,-2.733469,-3.938445,0,0
H,322,7,bridge,2,5.39,1,2.2,1,-2.02,1.95,-2.925758,-4.130734,0,0
H,1AD_111,3,top,1,2.5,1,2.2,1,-1.59,1.6,-2.447548,-3.652524,0,0
H,1AD_100,4,top,1,3,1,2.2,1,-1.85,1.69,-2.54818,-3.753156,0,0
H,2AD_111,4,top,1,2.92,1,2.2,1,-1.75,1.73,-2.73208,-3.937056,0,0
H,2AD_111,4,bridge,2,2.83,1,2.2,1,-1.75,1.73,-2.858844,-4.06382,0,0
H,2AD_100,5,bridge,2,3.11,1,2.2,1,-1.99,1.83,-2.905173,-4.110149,0,0
H,3AD_111,5,top,1,3.5,1,2.2,1,-1.63,1.74,-2.809034,-4.01401,0,0
H,3AD_111,5,bridge,2,3.17,1,2.2,1,-1.63,1.74,-2.842866,-4.047842,0,0
H,3AD_111,5,three-fold hollow,3,3.27,1,2.2,1,-1.63,1.74,-2.678851,-3.883827,0,0
H,4AD_100,6,top,1,4.42,1,2.2,1,-2.02,1.96,-2.694855,-3.899831,0,0
H,4AD_100,6,bridge,2,4,1,2.2,1,-2.02,1.96,-2.837537,-4.042513,0,0
